:START_ID(Disease)	:END_ID(Gene)
DOID:1612	3745
DOID:5419	10225
DOID:2531	54463
DOID:8893	6744
DOID:263	57530
DOID:9008	473
DOID:0050741	88745
DOID:418	291
DOID:11612	114805
DOID:1612	10491
DOID:332	10277
DOID:1612	3628
DOID:9970	3667
DOID:824	25909
DOID:1612	145581
DOID:1909	55612
DOID:7148	91
DOID:2531	923
DOID:14227	729597
DOID:418	6207
DOID:219	788
DOID:1612	114818
DOID:3083	78991
DOID:3083	84938
DOID:1612	2719
DOID:9206	10006
DOID:7148	253959
DOID:8577	22903
DOID:5419	440026
DOID:263	57171
DOID:263	8416
DOID:332	163183
DOID:14227	158135
DOID:2531	7846
DOID:7693	285989
DOID:219	4121
DOID:219	489
DOID:8778	54482
DOID:12365	56673
DOID:7693	56131
DOID:10763	9744
DOID:219	80323
DOID:986	55633
DOID:1324	9142
DOID:219	4337
DOID:14330	2271
DOID:8893	29997
DOID:14330	3043
DOID:7148	57134
DOID:635	104
DOID:12365	114884
DOID:7148	1938
DOID:1793	6139
DOID:1793	79608
DOID:3083	359948
DOID:10652	122616
DOID:9206	8850
DOID:2986	55937
DOID:5419	119765
DOID:7148	1368
DOID:0050742	11143
DOID:7693	283635
DOID:3083	6161
DOID:2377	55327
DOID:2531	1791
DOID:5419	10762
DOID:2394	56259
DOID:7148	27252
DOID:14330	56675
DOID:8577	157285
DOID:8577	146223
DOID:12365	23552
DOID:5419	92259
DOID:1909	440712
DOID:8893	57161
DOID:14227	51593
DOID:635	5165
DOID:12365	10081
DOID:7693	25805
DOID:1909	222
DOID:332	84273
DOID:0050156	56922
DOID:12365	8313
DOID:5419	8270
DOID:9008	205
DOID:11612	3313
DOID:219	2317
DOID:12365	728734
DOID:8577	2549
DOID:0050741	5218
DOID:11612	123207
DOID:0050741	84933
DOID:1612	54741
DOID:1909	2196
DOID:8893	84441
DOID:1793	4897
DOID:12365	498
DOID:263	18
DOID:8893	56967
DOID:1324	8631
DOID:418	54784
DOID:263	267
DOID:5419	388667
DOID:2394	5894
DOID:263	1491
DOID:9206	7326
DOID:8893	162282
DOID:14330	79912
DOID:3083	55625
DOID:7693	51676
DOID:219	9552
DOID:8778	28998
DOID:0050742	51122
DOID:263	50808
DOID:7693	552900
DOID:3393	60437
DOID:9008	79720
DOID:11612	56107
DOID:14227	5528
DOID:263	4051
DOID:7693	10276
DOID:10652	10683
DOID:14330	6571
DOID:11612	122525
DOID:8577	57568
DOID:2394	7846
DOID:11612	594
DOID:986	29115
DOID:5419	2578
DOID:2531	1291
DOID:7148	10541
DOID:418	8857
DOID:263	84952
DOID:0050156	7570
DOID:263	80221
DOID:635	664
DOID:1612	27303
DOID:1324	64848
DOID:635	26958
DOID:11612	54998
DOID:5419	7416
DOID:1612	599
DOID:418	55367
DOID:418	6146
DOID:10283	23396
DOID:0050742	26112
DOID:3393	5197
DOID:10652	79012
DOID:8893	55206
DOID:635	490
DOID:14330	10302
DOID:11612	51075
DOID:3083	1345
DOID:14330	51606
DOID:14227	56181
DOID:824	1979
DOID:5419	55658
DOID:8778	10628
DOID:1612	23331
DOID:14330	8788
DOID:824	116362
DOID:8778	51497
DOID:13223	57050
DOID:10652	1630
DOID:8778	6125
DOID:0050741	54931
DOID:2986	10253
DOID:219	7263
DOID:3083	51380
DOID:8577	2330
DOID:0050742	23363
DOID:0050742	767
DOID:12365	25804
DOID:824	51010
DOID:2986	8942
DOID:0050742	254050
DOID:12365	80775
DOID:2531	1044
DOID:635	25778
DOID:0050156	5583
DOID:986	54910
DOID:1793	25901
DOID:8893	119504
DOID:418	124995
DOID:635	2208
DOID:0050742	54492
DOID:1793	10260
DOID:14227	132671
DOID:8577	27330
DOID:263	56521
DOID:12365	84515
DOID:2986	5166
DOID:0050741	5481
DOID:332	51526
DOID:332	11075
DOID:263	51473
DOID:9008	57654
DOID:14330	2258
DOID:5419	388813
DOID:3083	54729
DOID:2531	10443
DOID:7147	9267
DOID:8893	169611
DOID:12365	10244
DOID:332	360
DOID:1612	10157
DOID:5419	10248
DOID:14227	84070
DOID:219	8412
DOID:1793	8761
DOID:2531	5087
DOID:219	3155
DOID:332	7484
DOID:14227	79696
DOID:1612	1808
DOID:10652	79656
DOID:332	128218
DOID:8893	10253
DOID:3083	5193
DOID:8893	4853
DOID:12365	56967
DOID:0050741	221336
DOID:8893	6191
DOID:8893	10217
DOID:3083	55753
DOID:986	79929
DOID:263	482
DOID:5419	4723
DOID:2394	7287
DOID:1324	356
DOID:8778	23142
DOID:10283	25983
DOID:1909	382
DOID:3083	29127
DOID:2986	468
DOID:0050742	65998
DOID:1909	92211
DOID:1909	25973
DOID:2531	57711
DOID:12365	2091
DOID:0050742	54996
DOID:418	10629
DOID:7693	4015
DOID:2986	2745
DOID:219	2690
DOID:10763	285668
DOID:13223	60598
DOID:9008	1106
DOID:8893	55667
DOID:8778	6156
DOID:10652	23283
DOID:12365	57026
DOID:12365	29801
DOID:8893	130026
DOID:332	1731
DOID:7148	26168
DOID:3083	64129
DOID:3083	5600
DOID:2394	10936
DOID:418	1019
DOID:0050156	100820829
DOID:986	51637
DOID:1909	124773
DOID:14330	10330
DOID:12365	9277
DOID:5419	9277
DOID:14227	127733
DOID:10652	785
DOID:2394	3361
DOID:14227	9266
DOID:635	2254
DOID:1612	6133
DOID:418	1340
DOID:9206	3728
DOID:9206	9792
DOID:1909	55655
DOID:219	37
DOID:219	27250
DOID:13223	9373
DOID:219	6518
DOID:9206	5333
DOID:0050156	660
DOID:8893	79086
DOID:10652	119
DOID:2531	4675
DOID:418	55621
DOID:219	54793
DOID:1612	23179
DOID:8577	55824
DOID:8893	54439
DOID:1793	386679
DOID:418	1967
DOID:1612	6135
DOID:8893	100381270
DOID:9206	23077
DOID:9008	9592
DOID:7148	2948
DOID:2531	1776
DOID:12365	3921
DOID:7148	51433
DOID:0050156	10787
DOID:7693	4054
DOID:1793	23464
DOID:12365	64965
DOID:219	25837
DOID:1909	79148
DOID:3083	55023
DOID:986	8907
DOID:8778	4147
DOID:0050156	126669
DOID:8778	9788
DOID:418	6856
DOID:2531	7188
DOID:986	1869
DOID:14227	144423
DOID:824	27235
DOID:13223	56949
DOID:9206	7469
DOID:8778	51182
DOID:263	1028
DOID:9008	9261
DOID:2531	27242
DOID:13223	4717
DOID:418	51230
DOID:7693	22982
DOID:11612	8892
DOID:263	79135
DOID:418	6836
DOID:418	51523
DOID:263	22837
DOID:418	230
DOID:1324	63940
DOID:0050741	8803
DOID:14330	5134
DOID:0050156	64682
DOID:1909	9683
DOID:824	24138
DOID:13223	24148
DOID:5419	3376
DOID:10652	11072
DOID:9008	156
DOID:7148	8303
DOID:1686	151647
DOID:0050156	9925
DOID:263	9114
DOID:9206	65985
DOID:8778	1345
DOID:418	4485
DOID:12365	471
DOID:7147	11041
DOID:14227	80150
DOID:418	7494
DOID:13223	5009
DOID:2986	4070
DOID:1909	55256
DOID:263	384
DOID:13223	54901
DOID:7148	10127
DOID:332	261734
DOID:8893	224
DOID:0050741	153733
DOID:9206	6692
DOID:8577	60313
DOID:332	145864
DOID:9206	9296
DOID:1793	124975
DOID:263	201161
DOID:14330	201229
DOID:14227	140894
DOID:8577	5087
DOID:8577	7644
DOID:9008	10765
DOID:1909	25996
DOID:8893	4089
DOID:0050741	118472
DOID:9970	3297
DOID:7693	2983
DOID:1793	124961
DOID:8577	9581
DOID:2531	3930
DOID:1909	224
DOID:12365	348110
DOID:9008	253782
DOID:9008	29116
DOID:9206	23566
DOID:14227	84075
DOID:3083	389084
DOID:10652	7915
DOID:10652	1010
DOID:418	29087
DOID:635	4208
DOID:10652	10944
DOID:9206	51441
DOID:11612	1020
DOID:2531	6856
DOID:8893	7586
DOID:5419	939
DOID:8893	90019
DOID:0050156	7122
DOID:986	9454
DOID:8893	6641
DOID:1324	929
DOID:14330	6731
DOID:11612	30834
DOID:418	6628
DOID:5419	4439
DOID:14227	23210
DOID:10652	56938
DOID:8893	552889
DOID:12365	10147
DOID:332	83538
DOID:2986	199
DOID:418	572
DOID:9008	4076
DOID:1909	5523
DOID:11612	7251
DOID:0050156	1660
DOID:635	909
DOID:2394	150290
DOID:7693	5352
DOID:10652	1235
DOID:0050741	7188
DOID:9970	114824
DOID:0050156	85407
DOID:332	27198
DOID:824	51176
DOID:418	8943
DOID:7147	3683
DOID:5419	26748
DOID:9206	4048
DOID:1612	6208
DOID:3083	80321
DOID:418	6729
DOID:7148	27242
DOID:1793	79929
DOID:986	4134
DOID:0050741	51642
DOID:8893	79960
DOID:7148	274
DOID:219	22903
DOID:986	129831
DOID:1793	6506
DOID:8577	9073
DOID:635	2776
DOID:9008	5609
DOID:1793	5827
DOID:7693	255374
DOID:7693	55256
DOID:8893	2625
DOID:1324	23596
DOID:9206	2700
DOID:3083	2172
DOID:7147	57134
DOID:3083	23408
DOID:8893	4299
DOID:0050742	54535
DOID:2531	8204
DOID:10652	887
DOID:8778	142684
DOID:635	940
DOID:0050742	9413
DOID:635	26960
DOID:1793	6936
DOID:1612	1036
DOID:418	11043
DOID:12365	6203
DOID:635	4673
DOID:263	1512
DOID:332	1180
DOID:8893	7466
DOID:3083	5463
DOID:9008	54877
DOID:13223	55188
DOID:1793	113419
DOID:1793	84460
DOID:332	161502
DOID:8778	6227
DOID:418	1635
DOID:3393	160365
DOID:418	53827
DOID:0050156	6337
DOID:0050741	54920
DOID:13223	8458
DOID:7148	7536
DOID:2986	50809
DOID:1909	10966
DOID:0050742	488
DOID:14330	4191
DOID:13223	9452
DOID:8577	51228
DOID:9206	4282
DOID:1909	10580
DOID:1909	1540
DOID:986	51332
DOID:1612	90634
DOID:4481	84833
DOID:418	9757
DOID:9008	51317
DOID:0050156	60561
DOID:418	23365
DOID:14227	4074
DOID:8893	6917
DOID:1793	26156
DOID:2531	55022
DOID:9206	9748
DOID:0050741	2170
DOID:0050156	1073
DOID:11612	23413
DOID:332	60493
DOID:263	84632
DOID:5419	147912
DOID:13223	79800
DOID:1793	3481
DOID:2986	1592
DOID:1909	79842
DOID:8577	10299
DOID:332	642587
DOID:7148	50717
DOID:12365	79897
DOID:8778	10749
DOID:9008	8480
DOID:8778	23224
DOID:332	131034
DOID:10652	1349
DOID:8893	2934
DOID:12365	23259
DOID:635	3570
DOID:824	5660
DOID:10763	23528
DOID:12365	1938
DOID:1793	153
DOID:5419	8237
DOID:1612	9510
DOID:9206	9989
DOID:263	79814
DOID:8893	4205
DOID:7148	8864
DOID:824	26225
DOID:2531	10160
DOID:10652	1807
DOID:8778	1207
DOID:332	6862
DOID:263	84688
DOID:418	6139
DOID:5419	79135
DOID:0050156	6905
DOID:9008	57003
DOID:10652	79719
DOID:2531	10217
DOID:14330	6921
DOID:1612	5212
DOID:10652	79000
DOID:12365	162394
DOID:2986	2002
DOID:263	161823
DOID:10652	8110
DOID:13223	7704
DOID:1909	6307
DOID:8577	54884
DOID:2531	7913
DOID:2531	9590
DOID:9008	463
DOID:635	6500
DOID:10763	84233
DOID:986	4665
DOID:219	8633
DOID:0050742	2034
DOID:14227	254225
DOID:0050742	728819
DOID:1909	9445
DOID:986	3182
DOID:219	8976
DOID:8778	116228
DOID:1324	7127
DOID:9008	7798
DOID:11612	5774
DOID:10763	338620
DOID:7148	1910
DOID:418	51398
DOID:2531	4151
DOID:8577	254887
DOID:986	6597
DOID:8577	4711
DOID:12365	9786
DOID:986	57805
DOID:14227	480
DOID:0050742	1028
DOID:418	3028
DOID:8577	26996
DOID:1612	55273
DOID:635	9774
DOID:635	2317
DOID:8893	55187
DOID:9008	8780
DOID:3083	22929
DOID:1612	8850
DOID:13223	9677
DOID:332	653604
DOID:7147	257160
DOID:14330	8678
DOID:2986	1847
DOID:12365	221120
DOID:1793	1501
DOID:8893	389541
DOID:7148	5434
DOID:219	54861
DOID:1909	54658
DOID:0050156	51406
DOID:2986	6520
DOID:2377	9611
DOID:0050742	79191
DOID:9206	10983
DOID:219	5372
DOID:1324	256051
DOID:3393	56751
DOID:8577	51185
DOID:635	202134
DOID:9008	27125
DOID:11612	10391
DOID:2986	6236
DOID:10763	27346
DOID:3083	341346
DOID:219	1112
DOID:8893	651746
DOID:3083	388323
DOID:10763	3038
DOID:9008	84953
DOID:2531	939
DOID:3083	25841
DOID:14227	4741
DOID:1793	8293
DOID:14330	1182
DOID:0050741	51138
DOID:2531	78986
DOID:8778	7166
DOID:986	474
DOID:12365	11168
DOID:14227	153918
DOID:332	8220
DOID:7148	3983
DOID:0050741	25934
DOID:7693	5154
DOID:2531	29
DOID:8577	8445
DOID:7693	10580
DOID:10652	6376
DOID:8577	8991
DOID:1612	230
DOID:14330	2029
DOID:1793	5283
DOID:986	11226
DOID:8778	54977
DOID:219	54884
DOID:9206	80864
DOID:9206	27330
DOID:9206	23426
DOID:8577	11329
DOID:2531	154796
DOID:2986	23035
DOID:11612	51493
DOID:8893	140730
DOID:986	10228
DOID:219	5236
DOID:1793	221120
DOID:263	1036
DOID:263	23705
DOID:14330	51142
DOID:2986	23135
DOID:219	2495
DOID:8577	64418
DOID:8778	337959
DOID:2986	4543
DOID:332	121601
DOID:635	9792
DOID:14330	1519
DOID:2531	10223
DOID:9206	23111
DOID:7693	64409
DOID:0050742	4494
DOID:635	1964
DOID:635	79891
DOID:332	90288
DOID:3083	51005
DOID:0050156	55112
DOID:14227	23178
DOID:986	57591
DOID:10283	91746
DOID:219	55788
DOID:0050156	55118
DOID:418	8945
DOID:13223	55071
DOID:263	9915
DOID:12365	121274
DOID:12365	84286
DOID:332	8287
DOID:7693	94274
DOID:986	5317
DOID:263	79098
DOID:2531	199
DOID:2531	23178
DOID:0050741	27229
DOID:8893	22836
DOID:1909	80762
DOID:14330	2983
DOID:2986	9806
DOID:13223	54221
DOID:2394	6988
DOID:263	56894
DOID:3083	266629
DOID:11612	166378
DOID:10652	1759
DOID:0050742	57221
DOID:12365	201931
DOID:263	1832
DOID:986	4502
DOID:8893	65062
DOID:1909	54970
DOID:10652	1652
DOID:5419	5450
DOID:14330	81853
DOID:1324	10437
DOID:1909	53905
DOID:0050742	5348
DOID:14330	10231
DOID:2531	3595
DOID:0050741	54065
DOID:12365	5305
DOID:635	755
DOID:7148	7086
DOID:0050741	79020
DOID:2531	6604
DOID:0050156	9173
DOID:3083	401236
DOID:0050156	654429
DOID:14227	25839
DOID:3083	100128071
DOID:986	221687
DOID:1793	5981
DOID:8778	3192
DOID:332	973
DOID:219	8611
DOID:635	7089
DOID:14330	4830
DOID:12365	2639
DOID:1793	5192
DOID:635	3295
DOID:1612	79987
DOID:1612	3201
DOID:10652	138162
DOID:1324	393
DOID:9206	9472
DOID:5419	5757
DOID:1612	6181
DOID:7148	56271
DOID:2531	6419
DOID:1909	4070
DOID:1793	1392
DOID:12365	51176
DOID:219	1646
DOID:1793	343
DOID:1909	5655
DOID:14330	10605
DOID:418	2873
DOID:9008	602
DOID:3083	54776
DOID:2531	79623
DOID:1909	9073
DOID:8577	3199
DOID:986	5265
DOID:9008	5939
DOID:332	91272
DOID:10763	57408
DOID:1909	55765
DOID:263	57143
DOID:2531	91750
DOID:7693	29079
DOID:9008	6397
DOID:14330	81631
DOID:2986	64061
DOID:2394	90196
DOID:5419	56934
DOID:1793	126567
DOID:14330	9978
DOID:986	7090
DOID:7693	154091
DOID:219	6392
DOID:1612	85480
DOID:5419	10128
DOID:11612	56942
DOID:263	79669
DOID:263	6296
DOID:3083	100289678
DOID:8778	5067
DOID:8778	5437
DOID:13223	3006
DOID:2531	6038
DOID:2986	26207
DOID:11612	8799
DOID:7148	57003
DOID:3083	162282
DOID:3083	147920
DOID:11612	27143
DOID:9206	6455
DOID:2531	7528
DOID:7148	11142
DOID:7148	9360
DOID:0050741	25974
DOID:3083	140701
DOID:2986	58189
DOID:0050742	56924
DOID:3393	255758
DOID:0050742	9061
DOID:7148	7259
DOID:986	81553
DOID:10652	1350
DOID:0050742	220988
DOID:7148	23177
DOID:986	51111
DOID:10652	90993
DOID:5419	7407
DOID:986	1311
DOID:13223	22955
DOID:1909	64065
DOID:1909	9452
DOID:14227	146279
DOID:0050156	81929
DOID:0050156	23244
DOID:332	8089
DOID:263	200373
DOID:986	10900
DOID:824	26234
DOID:1612	338328
DOID:7148	6234
DOID:8893	54878
DOID:0050741	8934
DOID:8577	93210
DOID:7148	171023
DOID:1793	2887
DOID:9008	115098
DOID:2394	7571
DOID:2986	9635
DOID:0050741	5685
DOID:3083	5570
DOID:9206	5436
DOID:8778	8364
DOID:9206	223
DOID:14227	79054
DOID:635	3097
DOID:1793	6258
DOID:0050156	55698
DOID:1612	80760
DOID:219	64080
DOID:3083	140711
DOID:2531	5324
DOID:1612	3909
DOID:12365	285527
DOID:1793	5798
DOID:0050742	89932
DOID:0050156	253260
DOID:8778	55096
DOID:2531	6934
DOID:635	3298
DOID:0050742	91750
DOID:0050741	9025
DOID:418	3716
DOID:2986	1647
DOID:3083	6229
DOID:8577	8556
DOID:11612	9189
DOID:0050156	80177
DOID:332	818
DOID:8778	79834
DOID:1909	5493
DOID:9206	53836
DOID:0050156	760
DOID:1909	8139
DOID:2394	3888
DOID:986	63877
DOID:1793	64714
DOID:219	6355
DOID:0050741	22878
DOID:8577	51318
DOID:1612	8660
DOID:7148	9112
DOID:332	139596
DOID:12365	64395
DOID:332	113146
DOID:8778	6122
DOID:418	6138
DOID:12365	51259
DOID:9008	5576
DOID:1909	3990
DOID:5419	4818
DOID:1793	4858
DOID:635	6642
DOID:8893	7528
DOID:7693	11117
DOID:332	9508
DOID:986	9092
DOID:3083	23492
DOID:332	4437
DOID:1909	6785
DOID:8577	56898
DOID:9008	374877
DOID:8778	2186
DOID:14227	1244
DOID:635	6872
DOID:0050156	3146
DOID:5419	57571
DOID:635	22930
DOID:635	911
DOID:635	6767
DOID:7693	1490
DOID:0050742	6376
DOID:9206	8673
DOID:12365	54557
DOID:0050741	79882
DOID:9008	85442
DOID:0050742	65983
DOID:2986	4111
DOID:11612	84327
DOID:9008	5293
DOID:7148	4921
DOID:9206	8626
DOID:418	1850
DOID:11612	51062
DOID:7147	7840
DOID:10763	257313
DOID:7147	10606
DOID:7693	79750
DOID:5419	6619
DOID:8778	5426
DOID:418	2956
DOID:14330	6733
DOID:11612	51686
DOID:5419	51142
DOID:1612	57569
DOID:8577	8091
DOID:8577	64756
DOID:9206	27018
DOID:9008	26207
DOID:1909	55667
DOID:14330	6391
DOID:2986	60370
DOID:1324	140690
DOID:418	6176
DOID:2531	2817
DOID:1612	83992
DOID:9206	221692
DOID:219	7798
DOID:9206	6391
DOID:1909	54861
DOID:1793	9829
DOID:9206	5786
DOID:0050156	57531
DOID:8778	5567
DOID:7148	208
DOID:14330	51031
DOID:219	30835
DOID:13223	9792
DOID:0050156	3248
DOID:2986	1039
DOID:332	55072
DOID:10652	253782
DOID:12365	114908
DOID:986	9820
DOID:12365	388403
DOID:986	6610
DOID:635	8506
DOID:986	89886
DOID:2531	7204
DOID:263	173
DOID:14330	93664
DOID:3083	117246
DOID:9206	64359
DOID:5419	6309
DOID:14227	81616
DOID:10652	22885
DOID:8893	91653
DOID:5419	54928
DOID:8577	124961
DOID:219	23304
DOID:12365	414301
DOID:1324	54625
DOID:986	92856
DOID:1793	57542
DOID:986	55737
DOID:986	3868
DOID:1793	10455
DOID:219	11099
DOID:0050742	23313
DOID:10652	64149
DOID:8577	55268
DOID:10763	59335
DOID:11612	285362
DOID:1909	1041
DOID:986	80320
DOID:0050742	400961
DOID:14330	9167
DOID:8577	55450
DOID:9008	9693
DOID:9008	84629
DOID:9206	80157
DOID:332	41
DOID:9206	5694
DOID:1612	23336
DOID:0050741	26003
DOID:332	116535
DOID:0050741	90075
DOID:2986	56650
DOID:10652	516
DOID:418	4054
DOID:635	4675
DOID:13223	4070
DOID:8577	55758
DOID:332	10116
DOID:635	10128
DOID:2531	221749
DOID:8778	55341
DOID:14227	5300
DOID:263	36
DOID:219	9948
DOID:7693	4653
DOID:2986	26051
DOID:1793	63036
DOID:9008	54512
DOID:14227	60677
DOID:9008	113791
DOID:418	472
DOID:3083	23348
DOID:9008	8878
DOID:635	5922
DOID:8778	11102
DOID:9206	11279
DOID:7148	10587
DOID:2986	27295
DOID:219	7851
DOID:0050742	114880
DOID:1909	7905
DOID:635	3454
DOID:3083	84532
DOID:12365	10870
DOID:2986	25841
DOID:0050156	9716
DOID:635	10120
DOID:2986	9125
DOID:7147	4063
DOID:9206	1973
DOID:14330	57103
DOID:12365	51386
DOID:14330	10657
DOID:2531	23328
DOID:10652	23492
DOID:219	1902
DOID:8778	28969
DOID:12365	9905
DOID:9206	8683
DOID:0050156	23348
DOID:0050742	84662
DOID:10652	22907
DOID:1612	10957
DOID:263	1209
DOID:0050742	2621
DOID:0050156	79003
DOID:0050742	127707
DOID:263	8853
DOID:8778	957
DOID:2986	3337
DOID:5419	9717
DOID:1793	4329
DOID:332	5051
DOID:7693	3298
DOID:1793	7469
DOID:3312	11340
DOID:219	3845
DOID:1793	33
DOID:3083	8601
DOID:8778	79675
DOID:14330	10190
DOID:8577	905
DOID:0050742	84131
DOID:3083	23566
DOID:5419	5106
DOID:9008	54832
DOID:219	4208
DOID:10283	79026
