:START_ID(Gene)	:END_ID(Gene)
1994	2707
4916	6464
7316	319101
6157	9775
1019	10987
1213	6885
5682	388677
5696	51371
6203	9641
7316	171586
57159	79794
8517	10128
6597	10200
207	3162
8452	10240
7316	440563
3676	27258
10971	256364
4851	5045
9212	151648
10000	23035
1956	6280
3768	51678
7316	130340
6198	7316
54507	55022
351	84570
1747	51567
1138	1143
2353	51213
60	10810
7014	56919
5933	6872
5434	7316
7316	9741
3191	26986
4137	7189
1647	84966
6168	23450
367	6602
7704	51564
1984	7316
7316	7695
3068	10514
351	389119
6135	6189
5925	11200
2534	6655
1124	4690
3676	5687
6184	10969
1399	3643
1788	5925
6688	7994
9815	22809
10540	115106
10361	27111
3656	54472
4618	6929
9439	29079
5879	58513
7316	10966
1457	10130
2903	9179
2835	5499
80321	127540
7739	10987
5566	7064
207	677
11140	57731
55832	343069
5684	5705
3303	5971
324	353116
9616	140459
2869	25890
4841	6628
7280	9146
8737	148022
27132	55832
6188	10514
5859	7276
329	92912
7316	201562
3181	6191
7316	58508
939	7185
7468	333932
1407	83755
4352	5781
5116	51547
23327	54602
4691	6143
6150	84101
4686	84271
10152	54535
5516	6950
5866	54927
55285	145282
10645	65125
10916	64210
156	6010
6613	23246
3676	22948
1656	6446
6597	8367
23145	23331
3608	7341
64746	64750
996	51592
23204	23551
1974	56658
867	7316
2975	81887
11244	54472
54165	56658
2624	8841
5982	10868
90589	386672
1991	7389
5764	51236
23641	54955
949	5174
4317	7035
23107	284695
6188	8266
7431	167838
2332	6193
4116	6632
5345	26085
5690	5694
203054	388677
23392	84440
6222	27335
9667	9821
1454	25865
2740	386675
3309	8452
472	8115
351	54884
3091	8260
23281	84140
635	8649
3155	81794
378	4609
8366	54815
8480	10980
2204	29992
351	23435
11033	63971
8237	51512
7421	84458
9401	11098
4924	5742
8988	9869
80274	222663
1759	4831
7325	56658
132660	286826
1201	55832
6344	10126
1969	5295
4595	90678
1292	2335
3551	4628
6134	55646
7316	221895
7316	399909
4281	78990
351	6993
5879	8871
5394	6499
9689	57580
2885	84445
7316	64112
5886	9246
159989	167838
2268	8856
7186	170082
891	4616
54386	84464
6850	7846
55274	83746
7186	22893
1460	23478
11091	55832
1459	10921
10987	57470
1385	1390
9025	55284
51176	60529
5896	8365
4839	7316
2792	54331
9045	9775
5599	5979
6133	8554
3889	7316
7205	23433
23243	55075
2332	27292
5718	10868
805	7137
865	6857
6810	29091
430	808
4288	6714
8357	57459
4281	387522
292	2099
6880	26747
10188	388677
9319	57048
351	10120
6637	8454
23204	59343
3221	255520
1147	79784
5861	7316
468	2963
801	10075
6879	6880
8880	22827
405	23462
5359	55707
3798	84079
2275	7593
7514	96764
10980	57761
7321	55743
7428	9984
6923	79699
1400	3146
351	1964
10985	219541
11224	51116
5516	8312
6648	7799
7316	8208
5597	7466
3479	7529
8697	80817
7805	23462
3320	5588
329	53840
1387	8368
10980	80028
2068	5893
5590	23286
7316	284390
9371	90410
2035	7247
1917	4738
1203	7316
2099	55681
9533	11078
1838	51225
3304	8805
9732	9775
215	225
2801	81629
29888	51295
51246	51741
6549	6709
2237	5528
26354	170506
1742	2892
4312	6357
387	23365
79839	285753
5062	6714
7189	11331
1843	5599
2804	7316
3820	5777
8452	26249
3868	8454
51135	57161
6502	6921
10987	163590
6772	56259
84875	554313
348	2290
2033	2355
2099	653604
8352	8353
2905	3603
4056	4257
26043	90293
81608	116225
6188	23020
6613	283820
4609	6135
4116	54984
1778	7316
1656	5521
5436	8859
4904	7020
966	2773
7316	253260
3320	5885
8910	10425
9349	64960
1933	9768
1173	3916
5594	84867
6880	8366
4609	9014
367	2963
7329	10475
3106	4100
8473	9768
6232	9349
317	3304
7220	9454
808	3551
56852	84108
7157	10848
6502	7316
2770	51655
1387	3949
3106	10452
1052	5970
2648	7428
351	23708
6125	6144
9470	63978
8358	9252
4342	11043
604	3455
3320	112858
10594	26058
3843	79101
196	5970
10488	55973
4905	5787
25913	339804
5520	7341
9341	10289
9513	10919
10458	50944
4105	9550
6256	9014
4791	4794
3192	9045
825	4792
5361	26270
6944	57634
2886	9757
3312	5693
6182	9768
860	4216
1639	5606
5908	9020
1915	64061
673	5906
5595	8870
10273	161582
9448	80852
2035	11331
6201	56945
5531	8318
8294	8453
2353	4659
6286	10273
2869	51138
9	8260
6455	63898
25788	64333
10615	56891
5932	55093
818	1103
5250	6136
6222	9349
5605	11228
8352	23468
5757	333932
1026	4193
3174	7136
1663	65125
3320	3742
23451	26608
5603	79582
6117	22944
6921	6924
3608	6165
3178	5597
3299	10998
658	85015
8468	80279
3996	7316
9782	58155
25942	84312
5879	729873
4214	6202
7159	200081
3646	10284
3028	9768
7316	23168
238	64151
8601	10539
5434	8237
8362	8520
4331	84447
6133	79618
51637	56257
22936	84246
5480	23582
6627	22826
3735	6155
2547	9971
861	4090
3660	10533
5520	29966
25	9820
2523	7184
4301	9369
3838	7014
5058	7205
933	6480
51643	94101
5077	10155
7324	223082
3692	55183
6204	6206
3239	4087
25788	26150
4916	27018
4193	7692
10992	55660
79656	353132
1978	9470
6152	10980
6154	9533
10001	81857
7316	284325
665	55816
1147	2969
8330	388677
2260	5295
7871	85369
5970	6155
7316	10902
6456	129285
1896	57185
7316	55656
3676	6144
3273	10252
10293	65264
1147	84433
2252	3339
6185	51643
4792	9276
3191	7702
2033	79803
2099	6147
6426	9169
7316	222229
3055	3572
9641	11034
861	2000
768	1495
8976	10006
1080	3758
6612	10436
823	55004
8087	23191
4319	63827
415	51004
50937	91653
3106	4141
26135	81533
5976	6191
25	2906
6047	29089
8454	64708
10081	51639
7086	9636
8517	10849
5688	5698
3267	4600
291	10987
5296	7316
5925	8841
4168	7316
933	3937
1822	9139
3183	4005
3002	7431
6752	9630
5521	117159
6625	26994
1499	3958
7100	54476
8724	23204
6201	11103
5707	23043
6165	10992
25759	375033
573	5707
1263	5451
1432	4294
5245	6169
1018	1033
10014	10575
2274	25959
8363	8520
5886	27246
2017	6850
4054	7040
2332	83858
2669	9260
6606	7345
4738	9978
811	3685
6660	8697
9111	9146
3159	3484
6582	128821
331	9500
3054	8452
8987	147872
4301	5911
5925	6613
7088	55643
2275	91137
6872	6878
5424	7014
351	64798
4311	4710
23557	26258
8452	9801
3276	7528
1191	11130
351	5996
6426	9295
6667	9360
5087	8841
1956	10019
390	11113
3841	25855
7316	11113
60	6810
3433	9282
51433	57154
4637	6202
3313	8266
286	200845
23265	149371
6733	54457
373	170954
30008	84894
6303	29057
6193	9782
3376	6446
3091	5187
6886	7150
351	3217
8295	9440
11124	55666
3575	6774
2908	11244
8443	84464
6128	6203
5597	6134
2868	8517
8841	54880
23582	80764
3609	83755
2804	64746
482	58157
3224	5087
7316	84153
6456	66000
4208	10144
5308	51176
55628	221504
1080	9520
6606	22993
7024	79733
90	659
4828	4829
5976	23405
6191	25885
55832	221823
64170	287015
1020	7150
891	51343
2099	81502
79571	84970
351	414918
6142	9513
7412	7415
19	51678
6152	55832
4869	29894
1385	5566
7514	8498
5300	9448
8573	22895
2058	27043
29979	113791
4741	5594
2972	5925
6144	9513
6709	6711
7412	10935
5817	50487
4792	10318
9013	9014
5521	7157
2885	7267
6206	10399
142	3836
9669	79842
5441	51082
4090	6660
3303	4790
5923	7529
7316	9118
3064	7052
790	27095
4176	55388
3187	23118
328	56001
976	6714
2737	4088
11338	79869
2185	9600
3020	11091
1020	79187
2885	84708
5894	8625
675	8237
7316	64792
6139	54881
2099	9031
51282	55888
521	7564
5987	54535
1016	7316
4152	10036
25959	51225
8576	10758
7168	7316
7082	81671
8175	55660
5094	23345
509	56902
8502	84959
6525	25855
1639	6711
10645	57488
2957	55617
525	6804
10987	11218
351	23111
64218	79039
351	4151
9150	79084
2033	10401
7431	8517
7316	148022
3106	9141
9801	9947
808	7428
7316	50999
70	5581
1398	79723
8899	8988
3815	5294
4311	6229
6885	10537
3304	11124
1024	54797
54461	163786
29969	122809
51765	79959
1154	5618
8452	9086
154	2870
207	5590
3163	8663
7133	59269
6714	9644
2643	2644
10971	64837
8346	56254
1742	116443
7341	85363
7316	94121
6597	7376
5883	6419
143684	386682
51399	79090
9616	55743
1856	7186
208	80339
6129	6950
5566	9221
6143	6152
3661	64750
351	220136
10537	84135
4088	22800
1748	6191
8881	22976
2290	8928
8354	22976
7316	8612
54512	65110
5515	6904
988	4172
7161	163786
2058	388697
2906	8831
8717	11064
8241	55161
864	9759
3654	57162
10363	94121
2688	8344
6152	6169
9584	10014
6613	27316
667	4802
51765	85369
6607	7157
5987	8697
3866	140885
9659	79165
2705	2706
4110	9167
3320	7417
1387	10524
1649	10743
4627	8517
3904	11117
378	192670
5045	6653
4193	51065
6873	6883
7321	23087
9217	151393
3799	23392
2353	5451
2260	7409
7186	10913
6133	6156
6633	50628
4338	55324
5925	23028
3608	6135
9643	85403
3276	55832
6203	6613
7277	57787
3251	10289
23263	54881
2810	9101
3691	5578
7316	84312
2896	3101
6205	9768
23130	440738
4824	79084
5371	6667
3930	23360
10987	23560
8357	26013
7454	142685
29922	93426
8450	55234
2885	51596
7316	219988
9666	55284
998	5582
5469	5914
7332	25820
752	10363
1104	4804
10445	51366
26610	55140
6152	64969
554	114897
8569	57333
9743	10750
8294	9971
2752	10244
1540	8517
3609	55226
5329	27286
3172	84246
2902	7074
409	51807
821	10014
6613	7094
7428	84817
60491	117178
919	6311
892	9969
2290	7189
834	836
23426	25865
6774	7253
4438	7411
2776	11214
7316	10947
4298	27125
7316	9353
3039	7337
3561	6789
6182	55092
10294	192670
6157	57418
7189	23471
682	5058
998	6147
4086	7205
23229	54477
3320	81788
2597	7316
6209	26019
27339	55646
6883	83860
405	3320
5521	9401
1808	56896
5468	57680
695	7006
60	54556
6640	7039
3791	7422
4172	10014
3836	6502
10642	55832
1756	93664
1802	64210
6434	91746
2873	10392
1432	5600
19	1457
4736	9040
5717	11244
1385	2963
324	3910
1387	3233
5394	80142
338	55176
5916	6722
1869	8850
6741	22976
1499	3434
801	8454
351	55596
6160	9768
6432	7316
23281	84775
6297	7316
114824	116225
23405	57418
324	4085
7316	54793
6728	10527
1399	1794
9656	90987
7158	22976
5590	5594
5819	386675
9768	65109
894	56654
7704	23309
6730	8452
6141	6229
3178	3189
4609	8518
7316	55556
4665	5300
54461	388677
60493	115704
7094	7846
49856	55096
10728	26958
9584	151613
6228	50628
2332	5976
81603	115426
11030	197335
86	6598
7316	23528
5144	5290
8358	9070
4792	6790
1687	9270
293	6748
10987	54800
5245	9533
5883	5982
4487	219541
1994	23020
4489	7157
2885	3568
896	1385
23028	147700
167838	200081
1937	3297
1741	2901
10483	10972
3737	4758
7009	29956
6189	79084
5295	9749
217	3692
5515	5595
857	5874
3382	53615
7170	24140
10980	339448
4172	6772
2099	9908
6733	10483
64170	84445
7316	9092
8065	115290
6207	9020
2066	4582
6778	7157
25	114784
7316	83742
1894	5590
860	59269
4793	30834
6767	54984
2885	25920
4940	57506
9817	54764
8356	57459
7251	92714
2157	5624
57599	219333
3691	5339
6165	6208
7316	11157
10220	117166
8467	25920
3358	6640
1406	83606
196	6597
1639	9871
9113	79959
5431	8216
2801	23650
10856	23107
1662	9908
4137	5071
801	3161
9318	121504
3725	5594
3301	5071
990	23594
6613	9879
4734	440738
4790	84617
5468	26137
920	3178
6189	10480
5335	7316
9929	57646
27338	56957
8569	23253
1869	123228
3596	3598
3932	54900
5111	257218
1746	23181
156	6620
2547	113130
54507	65989
10440	51025
7454	51429
2277	3791
1460	5499
84445	84988
10783	11140
3126	4105
3488	5054
8175	9184
3875	11007
3676	7057
84970	122183
6606	55558
2197	10987
1603	4170
10422	23327
558	5295
58	5578
7846	11165
1147	4088
5546	8241
7874	51699
5987	7114
5335	51375
1080	29766
1942	7046
2058	9020
1184	11059
23265	54536
3028	3396
5595	5900
1452	10971
10010	80254
6135	6207
8356	10498
1523	6613
3106	64210
2597	4869
805	6335
2624	7185
22976	51295
6418	7316
4791	29110
2272	10966
2869	55759
6191	10985
2547	4851
3035	11269
57674	91544
1785	3055
3181	64393
5518	54882
4089	4093
23199	80321
1815	3765
857	5337
7276	11161
2534	7297
2099	7818
270	10987
11315	64800
8065	23318
3146	5896
3068	55299
2895	8678
1051	4322
6678	7040
7316	23530
1123	6189
1874	8678
2099	10972
4736	6323
6194	26608
5250	6228
7316	441294
8452	10970
4609	8454
351	10449
1267	5621
6207	10056
1026	5292
5684	55048
5073	84221
7153	7412
5971	7316
7979	55795
3932	7431
4331	5451
164	6855
3065	5925
8454	84259
1400	10551
142	7189
7704	8405
1460	6470
5621	57787
4641	10755
4738	5052
1936	9641
6165	6169
1021	23411
8665	8900
8202	29123
3726	9586
6731	55832
351	134637
4174	8883
6279	7277
6152	9533
595	5000
8717	26133
11193	55660
10713	55178
56257	64852
409	7314
2206	3320
580	5496
6627	7316
51545	125115
1933	2597
6732	9014
8349	8445
2908	7158
4287	5886
8452	55646
351	8449
4215	4641
3105	3106
10395	64759
10252	10253
4914	7314
6154	23450
3422	7316
5315	51377
22870	283373
4092	11060
54751	55885
9442	80306
2769	3579
7388	27089
6895	92736
4084	9126
7316	132299
2885	55824
8175	10291
509	9775
3159	4998
6048	7321
382	22824
9228	85291
694	51255
6203	23450
5495	5515
8841	10488
7316	8803
5584	7322
9378	84958
29993	80829
4067	55824
4697	7316
9276	23043
353145	386675
353332	386677
6588	147872
3816	5104
250	10026
6160	26986
3725	9935
6445	8082
1739	2904
8336	54386
4905	9342
22929	54870
1052	6478
7186	23118
7157	11091
3688	23371
1956	203068
805	23043
51053	345643
3921	10128
1499	7345
2960	2961
83593	115207
7316	8935
8338	83983
8969	9768
3164	5599
60	80314
3396	30968
6096	7329
7316	284361
8358	23081
23281	149069
409	7278
488	4985
5701	5709
7020	26119
4691	140890
226	8452
6499	9948
3320	8798
331	7316
377	23163
1855	4086
9616	54205
4738	11224
2091	6165
6189	83858
1104	51380
6188	30968
3385	7430
3326	11319
8452	79169
808	55664
3183	50628
5245	51503
7528	8362
286	6708
55177	80864
8479	9657
22980	114928
60314	100288797
10475	23270
9513	11224
6733	7316
5932	26574
836	4170
4149	83463
5016	6779
207	669
4175	8900
9666	9743
6732	158511
8408	55626
1956	9655
710	716
4659	25814
2547	22800
10919	93100
8848	9183
7316	8175
3676	6386
9832	93474
8452	27327
3665	10010
26119	79991
6357	729230
23371	353323
2801	6631
351	23194
8723	23204
5985	56257
5154	5335
8290	10943
11338	55660
1717	170506
2108	4163
7324	9666
871	3009
1665	8233
8453	84083
90410	123722
6132	6829
1503	8412
7316	8940
11100	51588
5976	6189
5685	5710
3848	4153
1315	10972
2885	8976
3659	10273
7316	10342
238	4528
9094	55299
6629	8452
7316	25844
22976	79447
3211	5080
8175	22916
8553	79365
821	6955
6136	26354
1915	84787
1460	6171
2688	5162
22943	386677
81	65125
2099	134430
2357	6288
4637	8668
30001	57161
7020	7913
4208	9759
5170	11098
3853	8065
2623	6601
4261	8625
5576	6344
351	203260
1665	79576
4897	260425
6667	23126
6048	91445
51574	84464
4088	11060
3909	3914
2648	8364
7077	9768
7412	23603
8767	100506742
3586	3663
695	5588
6819	26277
6613	85395
5817	5818
302	7534
5709	7277
8663	10056
1956	5580
5139	10564
4719	8452
3326	6794
1487	7316
6774	51079
773	10656
6929	9242
4804	84894
6628	8940
2874	9611
598	2203
1875	8085
805	5718
7316	84246
23263	55226
3846	386675
3609	54165
466	1459
8175	9129
4163	23513
1052	22809
9832	23332
154	3763
1291	4099
80342	115650
3312	5691
7316	10723
2918	8554
5411	114034
1385	1859
5519	11116
7328	140432
7316	54982
54507	84976
1994	6142
6722	51008
9817	23078
7003	7316
9439	84246
6158	55379
293	6124
9126	27185
2730	7316
8367	84787
6144	81887
3315	10248
8454	8533
8202	10062
7299	7306
6129	6205
6204	10056
4110	5241
1028	5933
7082	29855
9319	80233
3014	7533
5013	386681
1655	3921
9240	79446
7278	10010
5696	5698
1915	2332
4703	7111
1457	4602
487	8660
4005	5152
6721	7317
351	6895
7316	83858
5300	7153
3667	10076
7324	8452
6294	7316
6208	54984
8361	387893
351	80071
7316	50488
5961	9402
1859	6430
598	115426
478	10985
10912	56904
4913	7157
308	3460
3615	26270
999	5499
3676	6141
10297	22919
9097	9352
7316	9575
1678	79571
4659	11035
1267	7846
4331	255488
6714	23113
5586	7415
51343	81620
10254	29965
4316	6696
5885	6230
3276	8359
9883	10617
7220	7225
2023	5603
1460	5529
6278	7052
1742	22859
6129	23345
3225	10379
9666	148581
1499	1956
7316	84445
332	836
3146	7316
1535	124056
8328	57595
2058	7965
4005	6660
5987	132789
1019	3005
60	70
51112	83696
351	22821
1660	6780
5245	8266
8335	9782
8362	26013
10987	221823
10537	55737
55663	84547
333	9869
4209	6667
5268	10656
7294	51497
23268	51466
