:START_ID(Compound)	:END_ID(Disease)
DB00338	DOID:418
DB00334	DOID:3312
DB01173	DOID:6364
DB01242	DOID:594
DB00668	DOID:2841
DB00600	DOID:12306
DB00697	DOID:2377
DB00215	DOID:3312
DB00717	DOID:11612
DB01119	DOID:10763
DB00657	DOID:11119
DB01224	DOID:10652
DB00482	DOID:7148
DB00564	DOID:2377
DB00500	DOID:7147
DB00623	DOID:5419
DB00820	DOID:418
DB00668	DOID:4481
DB00258	DOID:784
DB00413	DOID:0050425
DB00424	DOID:14330
DB00424	DOID:8778
DB00203	DOID:9744
DB00343	DOID:3393
DB00186	DOID:594
DB00285	DOID:1094
DB00540	DOID:2377
DB01233	DOID:6364
DB00706	DOID:10283
DB00304	DOID:11612
DB00230	DOID:2377
DB01068	DOID:12849
DB00814	DOID:8398
DB00502	DOID:10652
DB00321	DOID:2377
DB00668	DOID:1686
DB00502	DOID:11119
DB08866	DOID:1612
DB01104	DOID:12849
DB00245	DOID:12849
DB00490	DOID:594
DB00176	DOID:1595
DB01075	DOID:5419
DB00975	DOID:3393
DB00443	DOID:10283
DB00852	DOID:4481
DB01234	DOID:1612
DB00413	DOID:14330
DB00245	DOID:5419
DB00620	DOID:1319
DB00749	DOID:8398
DB00230	DOID:0050425
DB01233	DOID:418
DB01234	DOID:219
DB00906	DOID:3312
DB00945	DOID:6364
DB00746	DOID:784
DB00745	DOID:1094
DB00476	DOID:1595
DB00788	DOID:9074
DB01420	DOID:1612
DB00883	DOID:3393
DB01401	DOID:7148
DB00915	DOID:2377
DB00945	DOID:8398
DB00621	DOID:11476
DB00696	DOID:6364
DB00136	DOID:784
DB00714	DOID:14330
DB05271	DOID:14330
DB00338	DOID:263
DB00482	DOID:263
DB01068	DOID:2377
DB00935	DOID:4481
DB00376	DOID:14330
DB00734	DOID:11119
DB00334	DOID:5419
DB00918	DOID:6364
DB01235	DOID:14330
DB00695	DOID:784
DB00734	DOID:12849
DB00564	DOID:0050425
DB01394	DOID:418
DB00850	DOID:11119
DB01235	DOID:0050425
DB00603	DOID:1612
DB00814	DOID:7148
DB01151	DOID:1094
DB01068	DOID:0050425
DB00586	DOID:7147
DB01577	DOID:8986
DB00788	DOID:7148
DB00425	DOID:2377
DB00390	DOID:3393
DB06637	DOID:2377
DB00494	DOID:14330
DB01234	DOID:1319
DB00182	DOID:1094
DB01577	DOID:1094
DB00502	DOID:12995
DB01364	DOID:2841
DB00381	DOID:3393
DB00996	DOID:7148
DB01589	DOID:2377
DB00573	DOID:8398
DB01238	DOID:12849
DB00477	DOID:5419
DB00328	DOID:8398
DB01247	DOID:594
DB00697	DOID:6364
DB00181	DOID:2377
DB00852	DOID:2841
DB00605	DOID:8398
DB01186	DOID:11119
DB01068	DOID:594
DB00318	DOID:8398
DB01234	DOID:263
DB00555	DOID:5419
DB00831	DOID:5419
DB00959	DOID:2531
DB00564	DOID:3312
DB00215	DOID:594
DB00338	DOID:10283
DB00715	DOID:1595
DB00996	DOID:14330
DB00246	DOID:5419
DB00788	DOID:7147
DB01036	DOID:2377
DB00216	DOID:6364
DB00953	DOID:6364
DB00328	DOID:6364
DB01234	DOID:10283
DB00655	DOID:1612
DB01104	DOID:594
DB01623	DOID:5419
DB00285	DOID:594
DB00736	DOID:418
DB00482	DOID:10283
DB00323	DOID:14330
DB00443	DOID:263
DB00268	DOID:14330
DB01198	DOID:2377
DB01238	DOID:1595
DB00586	DOID:6364
DB00434	DOID:5419
DB00687	DOID:14330
DB01115	DOID:3393
DB06151	DOID:3083
DB00390	DOID:12930
DB00959	DOID:8398
DB00434	DOID:6364
DB00575	DOID:12849
DB00656	DOID:3312
DB01050	DOID:8398
DB00328	DOID:7148
DB00482	DOID:418
DB00996	DOID:0050425
DB00203	DOID:2377
DB00669	DOID:6364
DB01104	DOID:1595
DB00745	DOID:14330
DB00991	DOID:8398
DB01238	DOID:5419
DB00572	DOID:14330
DB00482	DOID:7147
DB00104	DOID:1793
DB00502	DOID:5419
DB00745	DOID:2377
DB00933	DOID:5419
DB00122	DOID:8398
DB00246	DOID:11119
DB01591	DOID:2377
DB00998	DOID:6364
DB00554	DOID:7147
DB01224	DOID:5419
DB00586	DOID:8398
DB00783	DOID:1612
DB00313	DOID:3312
DB00564	DOID:5419
DB00887	DOID:784
DB01576	DOID:1094
DB01068	DOID:3312
