:START_ID(Compound)	:END_ID(Disease)
DB00958	DOID:1319
DB00275	DOID:3393
DB01234	DOID:2841
DB00445	DOID:1115
DB00091	DOID:1312
DB01229	DOID:263
DB00575	DOID:10763
DB02546	DOID:2531
DB00449	DOID:1686
DB00291	DOID:2531
DB00544	DOID:1612
DB00445	DOID:2531
DB00594	DOID:10763
DB00443	DOID:7148
DB00361	DOID:1612
DB00881	DOID:10763
DB00635	DOID:8577
DB00503	DOID:635
DB01190	DOID:12365
DB00519	DOID:3393
DB00968	DOID:10763
DB00310	DOID:10763
DB00515	DOID:11054
DB01206	DOID:1319
DB00675	DOID:1612
DB01101	DOID:10283
DB00764	DOID:418
DB00635	DOID:9074
DB01042	DOID:1612
DB00851	DOID:4159
DB01217	DOID:1612
DB00795	DOID:7147
DB01076	DOID:10763
DB01346	DOID:12365
DB01001	DOID:3083
DB01097	DOID:7148
DB00350	DOID:10763
DB00290	DOID:2531
DB05294	DOID:1781
DB00549	DOID:2841
DB01254	DOID:2531
DB00563	DOID:11054
DB01105	DOID:9970
DB00853	DOID:4159
DB00347	DOID:1826
DB00678	DOID:9352
DB00920	DOID:2841
DB00188	DOID:2531
DB00661	DOID:10763
DB00703	DOID:1686
DB01222	DOID:8577
DB00575	DOID:1686
DB00884	DOID:5408
DB00584	DOID:10763
DB04574	DOID:11476
DB00959	DOID:4481
DB01016	DOID:11714
DB00620	DOID:9008
DB01250	DOID:8577
DB00220	DOID:635
DB00444	DOID:1324
DB00468	DOID:12365
DB00851	DOID:1115
DB00695	DOID:3393
DB00674	DOID:10652
DB00544	DOID:11934
DB01234	DOID:8893
DB00337	DOID:3310
DB00860	DOID:3310
DB05039	DOID:2841
DB00442	DOID:2043
DB00291	DOID:2998
DB00865	DOID:9970
DB00563	DOID:7148
DB00104	DOID:3277
DB04845	DOID:1612
DB01039	DOID:3393
DB00908	DOID:12365
DB00443	DOID:2377
DB00570	DOID:1324
DB06699	DOID:10283
DB01016	DOID:9352
DB01076	DOID:3393
DB01073	DOID:0060073
DB00983	DOID:3083
DB00530	DOID:1793
DB00287	DOID:1686
DB00519	DOID:10763
DB01083	DOID:9970
DB06218	DOID:1826
DB00722	DOID:3393
DB00434	DOID:4481
DB00541	DOID:0060073
DB01047	DOID:8893
DB01024	DOID:8893
DB00262	DOID:1909
DB00997	DOID:1612
DB01098	DOID:1936
DB00437	DOID:13189
DB00227	DOID:3393
DB04861	DOID:10763
DB00307	DOID:2531
DB06589	DOID:263
DB00762	DOID:1612
DB00284	DOID:9352
DB00481	DOID:11476
DB00958	DOID:184
DB00451	DOID:1459
DB01097	DOID:418
DB00993	DOID:9074
DB01601	DOID:635
DB00860	DOID:7147
DB01197	DOID:3393
DB00250	DOID:1024
DB01080	DOID:1826
DB01359	DOID:3393
DB00349	DOID:1826
DB00641	DOID:1936
DB00445	DOID:2998
DB00970	DOID:2994
DB00773	DOID:363
DB00741	DOID:8893
DB00853	DOID:1909
DB00563	DOID:184
DB00705	DOID:635
DB00997	DOID:2394
DB01144	DOID:1686
DB01210	DOID:1686
DB00741	DOID:9074
DB00970	DOID:4159
DB00254	DOID:12365
DB01043	DOID:10652
DB01234	DOID:3310
DB01241	DOID:3393
DB01014	DOID:8577
DB00570	DOID:263
DB01048	DOID:635
DB00495	DOID:635
DB01223	DOID:3083
DB01067	DOID:9352
DB01223	DOID:2841
DB00412	DOID:9352
DB00860	DOID:9008
DB01174	DOID:1826
DB00455	DOID:2841
DB01097	DOID:9074
DB05389	DOID:2841
DB00091	DOID:7148
DB01234	DOID:2531
DB01291	DOID:2841
DB01073	DOID:2531
DB00888	DOID:0060073
DB01206	DOID:2531
DB00731	DOID:9352
DB00635	DOID:13189
DB01032	DOID:13189
DB00384	DOID:10763
DB00471	DOID:3083
DB00843	DOID:10652
DB01394	DOID:12236
DB06201	DOID:1826
DB00457	DOID:10763
DB01577	DOID:9970
DB00317	DOID:1324
DB00945	DOID:3393
DB00773	DOID:11054
DB00321	DOID:6364
DB00619	DOID:2531
DB00588	DOID:2841
DB00136	DOID:8893
DB00722	DOID:418
DB00584	DOID:3393
DB00635	DOID:8893
DB04572	DOID:11054
DB00990	DOID:1612
DB00397	DOID:9970
DB00541	DOID:4045
DB00788	DOID:13189
DB00860	DOID:8577
DB00136	DOID:11476
DB01033	DOID:8577
DB00343	DOID:10763
DB00997	DOID:10283
DB01085	DOID:1686
DB00790	DOID:3393
DB00722	DOID:10763
DB01041	DOID:1024
DB00993	DOID:2377
DB00178	DOID:3393
DB01234	DOID:7148
DB00445	DOID:1192
DB00563	DOID:2994
DB00571	DOID:10763
DB01248	DOID:1793
DB01248	DOID:2394
DB01248	DOID:10283
DB00445	DOID:363
DB00443	DOID:9074
DB00987	DOID:0060073
DB00542	DOID:10763
DB00014	DOID:1612
DB01128	DOID:10283
DB00373	DOID:1686
DB01033	DOID:2531
DB01101	DOID:219
DB01077	DOID:11476
DB01248	DOID:11934
DB00523	DOID:2531
DB00995	DOID:7148
DB00635	DOID:7147
DB00796	DOID:10763
DB00398	DOID:3571
DB00635	DOID:2377
DB08882	DOID:9352
DB00997	DOID:11054
DB06697	DOID:12365
DB01030	DOID:4362
DB00806	DOID:12365
DB00819	DOID:1826
DB00740	DOID:332
DB00683	DOID:1826
DB00553	DOID:12306
DB01030	DOID:2394
DB06772	DOID:10283
DB01083	DOID:9352
DB00790	DOID:10763
DB00153	DOID:11476
DB00515	DOID:184
DB00966	DOID:10763
DB00903	DOID:10763
DB00709	DOID:635
DB00818	DOID:1826
DB00361	DOID:1324
DB00459	DOID:8893
DB01234	DOID:4481
DB00411	DOID:1686
DB00221	DOID:2841
DB00806	DOID:418
DB00262	DOID:2531
DB00959	DOID:9074
DB00590	DOID:10763
DB01229	DOID:1612
DB00509	DOID:1459
DB00563	DOID:219
DB00530	DOID:263
DB00993	DOID:8778
DB01018	DOID:10763
DB01042	DOID:2394
DB00996	DOID:1826
DB00620	DOID:2841
DB00999	DOID:585
DB00744	DOID:2841
DB00524	DOID:10763
DB00741	DOID:13189
DB01268	DOID:263
DB00238	DOID:635
DB00795	DOID:7148
DB01229	DOID:2394
DB00700	DOID:10763
DB00373	DOID:10763
DB00859	DOID:7148
DB00860	DOID:13189
DB00273	DOID:6364
DB00724	DOID:4159
DB00515	DOID:5041
DB04868	DOID:2531
DB00970	DOID:1192
DB01194	DOID:1686
DB00443	DOID:8577
DB00175	DOID:1936
DB00570	DOID:1612
DB00997	DOID:2998
DB00625	DOID:635
DB00635	DOID:8778
DB00184	DOID:8577
DB00704	DOID:0050741
DB00959	DOID:13189
DB00871	DOID:2841
DB00373	DOID:3393
DB00563	DOID:5041
DB00214	DOID:10763
DB00275	DOID:10763
DB00768	DOID:4481
DB00627	DOID:1936
DB00860	DOID:7148
DB00981	DOID:1686
DB00860	DOID:9074
DB01579	DOID:9970
DB00230	DOID:1826
DB00912	DOID:9352
DB00443	DOID:3310
DB01214	DOID:1686
DB00481	DOID:1612
DB00758	DOID:3393
DB01030	DOID:1192
DB01005	DOID:8893
DB00945	DOID:13378
DB00242	DOID:2377
DB00997	DOID:4045
DB00993	DOID:7148
DB00620	DOID:2377
DB01133	DOID:5408
DB01234	DOID:8577
DB01204	DOID:0060073
DB00175	DOID:3393
DB00515	DOID:2531
DB00598	DOID:10763
DB00959	DOID:8577
DB00445	DOID:2394
DB00794	DOID:1826
DB00273	DOID:9970
DB00499	DOID:10283
DB04572	DOID:2531
DB00282	DOID:11476
DB08866	DOID:10283
DB00541	DOID:1192
DB00887	DOID:10763
DB00970	DOID:2998
DB00635	DOID:9008
DB00361	DOID:2394
DB00564	DOID:1826
DB00967	DOID:4481
DB00695	DOID:10763
DB00399	DOID:5408
DB00741	DOID:8577
DB00620	DOID:986
DB00996	DOID:6364
DB00853	DOID:1319
DB00332	DOID:2841
DB00424	DOID:4989
DB00455	DOID:4481
DB00829	DOID:1826
DB00445	DOID:1612
DB00822	DOID:0050741
DB01033	DOID:8778
DB01248	DOID:10534
DB00180	DOID:4481
DB00252	DOID:1826
DB00997	DOID:3571
DB01042	DOID:1192
DB00959	DOID:2377
DB01351	DOID:1826
DB01193	DOID:10763
DB00443	DOID:2841
DB00381	DOID:10763
DB00657	DOID:10763
DB00570	DOID:2994
DB01359	DOID:10763
DB00445	DOID:184
DB08906	DOID:2841
DB00541	DOID:219
DB00694	DOID:2531
DB00471	DOID:4481
DB00635	DOID:7148
DB00544	DOID:4159
DB00860	DOID:2377
DB00445	DOID:11054
DB01234	DOID:2377
DB01168	DOID:1319
DB00282	DOID:5408
DB00783	DOID:11476
DB00816	DOID:2841
DB00860	DOID:8893
DB01265	DOID:2043
DB01030	DOID:1324
DB01101	DOID:5041
DB00603	DOID:363
