:START_ID(Compound)	:END_ID(Gene)
DB01097	1738
DB01092	4144
DB00744	6461
DB00987	22794
DB00754	79143
DB00602	990
DB02546	5211
DB00180	7296
DB00570	8520
DB00233	991
DB01273	6633
DB00834	9133
DB00694	10112
DB01103	64427
DB01156	54733
DB01396	3303
DB01406	10273
DB01234	5252
DB00444	11004
DB06287	25852
DB06287	79693
DB00412	10635
DB01208	6919
DB01204	9267
DB01204	55272
DB09020	79590
DB00675	22984
DB00434	3930
DB08911	5321
DB01261	27122
DB00762	10615
DB01179	23089
DB00903	5985
DB00870	9183
DB00688	2194
DB00694	23131
DB01024	10051
DB00762	5921
DB00265	8520
DB06803	522
DB00445	10904
DB00620	7298
DB08916	27340
DB01024	705
DB01092	10456
DB01119	55748
DB01047	6347
DB08865	5901
DB08901	200081
DB00591	11232
DB08881	11182
DB01034	2778
DB00443	5128
DB00188	994
DB00877	11130
DB00321	79902
DB01171	3486
DB00987	6050
DB00570	23588
DB00982	11072
DB06710	4609
DB00990	3978
DB04844	2131
DB08916	23597
DB00448	6832
DB00170	5162
DB00444	8289
DB01396	5438
DB01172	9518
DB01030	5520
DB00305	622
DB00397	6192
DB00188	83638
DB00374	51236
DB00443	7020
DB00446	27338
DB01095	64682
DB00717	10221
DB08911	79084
DB00970	9790
DB01590	9937
DB08860	51659
DB01030	22823
DB00641	9816
DB08901	4609
DB00444	387
DB09020	5993
DB00715	51659
DB00810	10617
DB08877	9552
DB01115	6192
DB00481	64783
DB00261	200081
DB00305	7750
DB00970	10557
DB00960	1676
DB00703	3682
DB00205	51070
DB01204	481
DB00570	10669
DB00390	1050
DB02546	23277
DB00773	9493
DB01105	4282
DB00130	7298
DB02546	10007
DB01030	7272
DB00367	84549
DB00154	533
DB08865	80349
DB00563	22934
DB06589	637
DB00928	1351
DB00305	55129
DB01166	7088
DB00367	328
DB01177	55872
DB00762	8202
DB01229	5018
DB00570	6894
DB00443	1839
DB00854	5827
DB04786	9093
DB06803	146909
DB01034	23590
DB01590	10174
DB00970	79902
DB01092	231
DB01254	5901
DB00629	9133
DB01092	55172
DB01366	55256
DB00694	9531
DB01119	3251
DB00836	51070
DB08865	891
DB00679	8480
DB08881	10682
DB00585	1666
DB08860	55388
DB08860	23091
DB08881	7804
DB00091	22809
DB01024	84722
DB08866	29937
DB01197	29082
DB01248	5216
DB00188	29902
DB06803	6119
DB00390	79697
DB08901	22827
DB00206	9128
DB00091	4172
DB01243	6839
DB00188	10245
DB08860	1479
DB01074	9319
DB00445	54778
DB00567	1978
DB00206	10969
DB01197	1738
DB00170	5018
DB01243	6427
DB00322	26520
DB01229	51071
DB01074	522
DB08877	25839
DB00441	10493
DB00417	291
DB00441	5715
DB08974	3033
DB01092	54541
DB00641	8624
DB00755	7298
DB00570	7298
DB00445	9847
DB01273	158
DB00831	2778
DB01188	83461
DB00367	79752
DB00831	57019
DB00947	51116
DB00481	55038
DB01095	3682
DB00170	10670
DB00541	5436
DB08604	993
DB01229	7298
DB00762	3832
DB00445	55143
DB00374	4913
DB00694	23378
DB08901	8726
DB00188	55272
DB00741	8878
DB00434	29937
DB00367	10946
DB00996	9518
DB01179	6499
DB00547	4088
DB08916	10494
DB00679	7419
DB00868	6192
DB01053	10682
DB06589	843
DB01095	990
DB00987	6697
DB01396	8574
DB00694	8870
DB00445	890
DB00322	10112
DB01188	5696
DB08865	23658
DB00523	2778
DB09020	672
DB00443	4281
DB01013	10123
DB00762	11113
DB00928	9133
DB00987	7705
DB08860	51728
DB00679	55723
DB06804	25874
DB00877	51022
DB00530	10589
DB01406	10024
DB00738	60528
DB08916	10534
DB01034	4751
DB00773	56992
DB01074	3065
DB01177	11325
DB00762	5073
DB04865	25804
DB08877	55139
DB00390	7027
DB00675	51293
DB01243	6790
DB00947	29893
DB06804	51170
DB00194	84722
DB06287	6790
DB08912	8061
DB00585	10969
DB01092	10112
DB00445	23397
DB08865	55111
DB00987	84722
DB01103	50628
DB00253	9133
DB00367	56992
DB00244	51293
DB00584	5321
DB00762	3312
DB00398	4670
DB00688	8985
DB00857	5223
DB00928	1622
DB00613	10190
DB00394	8061
DB01204	10285
DB01234	26064
DB00947	79850
DB00602	4172
DB00877	5831
DB00223	8061
DB08912	5427
DB00398	7076
DB01103	5635
DB00305	51742
DB00434	813
DB00170	9833
DB01175	6050
DB02546	9212
DB08881	6192
DB00960	7422
DB00570	5287
DB04896	637
DB00806	55893
DB00641	10969
DB00970	147179
DB00170	1019
DB01197	6284
DB00481	8985
DB01092	64981
DB01204	2956
DB00947	5440
DB00758	5037
DB00188	126299
DB08865	26292
DB00188	4351
DB01234	4780
DB00857	8662
DB08912	5468
DB00970	328
DB01396	60491
DB01024	55131
DB01016	5529
DB00715	84617
DB00715	26520
DB00170	2802
DB01418	10318
DB00444	5347
DB00877	6195
DB00630	10362
DB08877	79873
DB00703	5800
DB08860	8562
DB00822	60528
DB08881	5718
DB00643	4750
DB01188	80347
DB08912	81
DB00588	10589
DB08877	256364
DB01177	54537
DB01273	5997
DB01188	57215
DB06803	3301
DB00631	22974
DB06803	2997
DB00982	10059
DB00170	22883
DB01034	2237
DB06287	3628
DB01013	3930
DB00810	51282
DB00315	29082
DB00755	1050
DB06803	9324
DB01024	10523
DB01211	9518
DB01254	55723
DB01590	6390
DB00783	2634
DB01254	5111
DB00541	10962
DB00933	51116
DB04865	79850
DB00613	5721
DB01172	1738
DB00928	51573
DB01024	11065
DB00857	4738
DB00675	991
DB00570	27131
DB00904	39
DB08916	23082
DB00170	29929
DB00997	23609
DB00877	1665
DB00550	3682
DB01103	23076
DB08865	10528
DB00374	5471
DB00997	25976
DB00928	3978
DB00180	23406
DB00443	55228
DB00530	8061
DB01021	80758
DB09020	26275
DB00643	55032
DB00997	200081
DB00748	79080
DB00970	54512
DB00205	55143
DB00541	8624
DB01396	51071
DB06616	22934
DB01204	9798
DB00604	5223
DB08911	81848
DB00990	6894
DB01179	4329
DB01008	23530
DB01104	8726
DB00877	4172
DB01003	9183
DB00688	5211
DB00523	8140
DB00374	10195
DB00947	51071
DB00934	1465
DB08860	7106
DB02546	64118
DB00312	9518
DB00703	5373
DB00563	1994
DB00541	25987
DB04865	79902
DB09020	7265
DB00563	899
DB00675	8624
DB00997	10427
DB00882	705
DB00530	994
DB08911	4885
DB01420	11200
DB01034	1738
DB01578	50814
DB01029	9926
DB01179	54930
DB04865	11078
DB00877	79902
DB00570	11157
DB00239	79902
DB00960	9212
DB00844	8520
DB02546	2395
DB00343	2697
DB00854	22809
DB00566	4885
DB01202	1738
DB08881	8507
DB01024	5096
DB00643	112611
DB00585	2548
DB09020	256364
DB00729	51382
DB00822	54512
DB00305	6192
DB06803	6790
DB00374	8624
DB08901	91137
DB01179	5883
DB00643	4711
DB04868	2194
DB00441	9375
DB00987	23640
DB04865	994
DB00443	9181
DB00443	6926
DB01590	51031
DB00963	7866
DB01204	11325
DB00928	4085
DB01179	2639
DB04865	4175
DB04865	56910
DB00315	6192
DB00426	5300
DB01138	10190
DB00773	9688
DB01092	57819
DB00530	1848
DB00392	51293
DB00444	1978
DB08877	54930
DB00441	874
DB01590	11321
DB00876	3875
DB00643	2677
DB01396	4913
DB00374	23481
DB01177	10921
DB01406	4173
DB01224	3303
DB00367	5438
DB00443	57761
DB08901	1479
DB00993	10273
DB01092	9690
DB01024	23212
DB08916	481
DB00507	23212
DB08912	5888
DB00550	10493
DB06287	55312
DB08865	51690
DB08860	10926
DB01590	55012
DB00947	9787
DB01590	7980
DB00315	79080
DB08860	975
DB00911	9518
DB08911	10807
DB00857	64963
DB00398	3181
DB00390	51734
DB00441	11004
DB01103	1213
DB00748	388650
DB08912	55143
DB06287	79073
DB01092	23076
DB00445	55178
DB00518	10007
DB00864	51070
DB01261	323
DB00585	51021
DB00928	10998
DB01261	1490
DB00367	54205
DB00443	79080
DB08881	54205
DB00205	6790
DB01034	3276
DB08881	11047
DB00671	10434
DB06704	7866
DB04865	5777
DB00694	23210
DB06710	7982
DB01177	27338
DB00762	10111
DB00602	51053
DB08604	4172
DB09020	9128
DB00420	5111
DB01016	4794
DB00961	388650
DB01204	51116
DB04865	79158
DB00877	2582
DB06589	29890
DB01177	994
DB00445	994
DB08901	6881
DB00319	5982
DB01261	3454
DB00831	5708
DB09020	54995
DB01204	22929
DB00762	65084
DB01204	79736
DB00715	83743
DB01008	1633
DB00679	9801
DB00997	641
DB00715	30836
DB00591	9928
DB00679	54892
DB00445	6491
DB00774	6192
DB01211	51056
DB01051	114884
DB01115	5529
DB00643	9060
DB00602	11004
DB00367	6697
DB00539	5985
DB08912	10813
DB08865	9688
DB00305	6904
DB00180	55355
DB00423	55699
DB00679	51053
DB01268	8726
DB00970	91782
DB00445	51441
DB00694	10051
DB01204	3838
DB00970	27095
DB00613	5111
DB00604	3028
DB01034	991
DB08912	23406
DB00995	6182
DB00444	2956
DB00444	7153
DB08860	4176
DB01234	55120
DB00570	6192
DB02546	79039
DB01095	10190
DB00443	3454
DB00928	4125
DB00443	27242
DB00857	10943
DB01092	64943
DB01092	664
DB08901	8915
DB01177	51512
DB01234	1649
DB00361	4171
DB08881	11072
DB00541	4175
DB01179	10998
DB01224	23326
DB00441	259266
DB01103	7866
DB00481	55071
DB00947	10460
DB01590	65123
DB00968	6284
DB01118	387
DB00481	2274
DB00960	84722
DB00928	9319
DB00947	11065
DB06803	5223
DB00763	1738
DB00305	9019
DB00481	51025
DB00322	7866
DB06803	899
DB00136	10634
DB01034	9837
DB00968	7398
DB08865	5471
DB00130	991
DB08916	54475
DB00205	899
DB00547	51282
DB00523	8520
DB01254	9410
DB01029	6347
DB01229	7994
DB08911	708
DB00472	51116
DB08881	9673
DB01396	10617
DB04865	1487
DB09020	7494
DB01204	9712
DB08912	51728
DB00541	29087
DB00188	1848
DB04865	7358
DB00694	4609
DB06803	7374
DB00091	3930
DB00224	10969
DB01047	5743
DB06589	9915
DB08901	51155
DB00675	5529
DB02546	705
DB00159	6192
DB00773	23204
DB00509	29083
DB01188	9212
DB08916	114884
DB00373	4931
DB01380	2697
DB08881	6183
DB00390	9183
DB06287	3419
DB00796	4931
DB01273	4704
DB01177	10024
DB00854	79080
DB00982	10634
DB01165	9842
DB08916	10197
DB00541	54554
DB08865	56942
DB08912	81611
DB00997	9212
DB08866	23597
DB00631	1605
DB00401	8243
DB01092	54995
DB00694	84975
DB00398	9133
DB01103	51011
DB01396	55734
DB00305	25836
DB01104	3682
DB00531	10797
DB00206	6119
DB04946	6832
DB00643	9724
DB04572	5796
DB04865	23313
DB00947	10131
DB00854	10038
DB01113	8480
DB08881	27249
DB00305	2064
DB00170	9870
DB00877	23212
DB01074	6390
DB08912	9128
DB00928	7138
DB00188	84890
DB01113	3312
DB01074	28978
DB01396	11200
DB00170	80349
DB00305	10664
DB01034	23326
DB00776	9842
DB01406	79000
DB00367	51116
DB00928	5690
DB00762	1730
DB00694	7398
DB00390	5092
DB08865	10244
DB00773	2146
DB01030	7358
DB00541	57016
DB00588	6347
DB00963	26520
DB06803	9531
DB00641	55299
DB00679	8050
DB00643	25874
DB00530	4502
DB00367	51635
DB08865	25906
DB00997	23512
DB08912	27341
DB00585	5211
DB00523	891
DB00091	6241
DB00391	10687
DB00390	51282
DB00643	7257
DB00762	54477
DB01222	23543
DB00715	23404
DB00291	332
DB01120	390
DB00928	10362
DB00227	2037
DB00762	6239
DB04865	203068
DB01103	23386
DB00694	23047
DB00361	11073
DB01234	55228
DB00694	9847
DB00170	23097
DB01208	55699
DB00535	5373
DB00891	8884
DB00193	23029
DB00963	23210
DB01177	55355
DB00982	3303
DB00229	22889
DB00317	23029
DB01074	5300
DB00793	6117
DB00188	7153
DB01403	10797
DB00091	1738
DB04786	55748
DB00602	4173
DB00523	664
DB00227	10969
DB08912	5036
DB00928	230
DB00404	6182
DB01074	55157
DB01234	23014
DB00717	3930
DB00997	1022
DB00844	5373
DB01234	8863
DB01034	291
DB01254	7371
DB00970	5877
DB00997	55131
DB00822	6894
DB02546	4609
DB01234	8061
DB08865	617
DB00441	55010
DB00970	1477
DB08911	5933
DB00993	23512
DB00641	29107
DB01177	9833
DB01024	11331
DB01188	9847
DB00717	7982
DB00822	5347
DB01030	4216
DB00783	57658
DB00408	7016
DB00928	55347
DB00854	55148
DB00637	5438
DB01103	51021
DB01008	16
DB00490	8520
DB00445	10921
DB00867	10227
DB04841	2288
DB01084	23658
DB01092	5287
DB00679	55699
DB08912	10528
DB01024	10237
DB00390	79714
DB00631	2305
DB00445	7862
DB00091	5223
DB00688	85236
DB01254	2146
DB00585	26472
DB00530	8870
DB01188	55746
DB00758	5108
DB00481	84823
DB00570	55324
DB08916	7298
DB08866	8624
DB06804	6697
DB00227	56915
DB01239	83743
DB00374	8884
DB00170	25804
DB04865	311
DB00441	3930
DB01053	1666
DB01590	65005
DB01254	6632
DB00694	56652
DB00970	1738
DB08912	332
DB00507	2237
DB00755	5601
DB01590	22868
DB01618	11073
DB00613	991
DB00640	5347
DB00877	1633
DB00227	1802
DB00374	10849
DB00547	26227
DB00091	9212
DB08881	7280
DB00832	51001
DB01030	54778
DB01188	55247
DB01396	66008
DB00982	2958
DB00188	10166
DB00585	6119
DB09020	55374
DB00441	23223
DB00091	23397
DB00755	7416
DB01171	7296
DB00715	9133
DB01229	9837
DB00717	8914
DB00947	9088
DB00336	10112
DB00481	79029
DB01177	1033
DB00740	10493
DB00443	1601
DB00810	4043
DB08865	54962
DB00374	51154
DB00456	9552
DB00968	2065
DB00361	6821
DB08901	8520
DB00444	55165
DB00394	9518
DB06803	4605
DB00997	7088
DB00925	991
DB01254	1465
DB00223	9552
DB00188	5441
DB06589	26136
DB01590	2553
DB01074	6275
DB01211	6192
DB08866	10273
DB00577	51382
DB01030	4331
DB00227	4043
DB00738	11182
DB00398	55143
DB01095	4927
DB00947	29980
DB01065	388650
DB08881	7037
DB08865	23076
DB00392	54205
DB09020	79073
DB00444	5468
DB01177	83461
DB01008	51021
DB00982	8243
DB00283	5096
DB00762	5525
DB08901	6617
DB01008	5110
DB00367	64425
DB06287	1665
DB00398	5427
DB00588	3162
DB01394	2099
DB00170	648
DB00091	51659
DB00960	5566
DB01128	84617
DB00441	5108
DB00857	29911
DB00624	4609
DB00374	51491
DB00997	54778
DB01008	26520
DB00477	51495
DB00861	7358
DB08877	29781
DB00367	10128
DB00481	9361
DB01273	55692
DB01590	22948
DB06803	84617
DB01406	4522
DB00857	57117
DB00788	10190
DB01179	23530
DB00170	54908
DB00641	4830
DB00715	55872
DB00374	949
DB01238	5111
DB00694	79893
DB01396	3654
DB00715	54948
DB00679	4605
DB04865	4522
DB00444	23210
DB01199	55012
DB01179	6821
DB02546	6050
DB04865	55748
DB00995	5111
DB00877	4686
DB04842	6697
DB00328	8914
DB01034	24137
DB01177	8731
DB00839	5708
DB01053	58478
DB06710	8318
DB00390	3337
DB00882	983
DB01243	6603
DB00441	55127
DB00631	8629
DB01188	146909
DB00570	55148
DB01092	4351
DB08901	1848
DB01268	4174
DB01204	4609
DB08860	4154
DB00878	6182
DB01602	1738
DB00679	23463
DB01204	1051
DB08901	1351
DB01590	29099
DB01092	11222
DB04839	10641
DB00170	23512
DB00456	6182
DB01151	23014
DB01103	8914
DB00602	699
DB00679	2958
DB01222	831
DB00679	60493
DB01394	4175
DB00481	54922
DB00541	79178
DB00755	4925
DB01024	80324
DB00443	3589
DB00400	79080
DB00643	51115
DB00441	55012
DB00252	347902
DB01188	1058
DB00415	3855
DB01030	5427
DB00836	9801
DB00694	55143
DB00441	54881
DB00987	29083
DB01024	55775
DB01034	6182
DB01188	57405
DB00180	9133
DB00374	10199
DB01177	51182
DB00481	6119
DB00717	4522
DB00758	5901
DB00643	10409
DB01137	1788
DB04842	56654
DB00643	55858
DB00374	23386
DB00822	9133
DB06803	51367
DB01053	4860
DB00570	990
DB00773	1062
DB00866	58478
DB01204	7494
DB01177	23338
DB00570	3832
DB00570	55709
DB02546	79716
DB00947	54892
DB00305	2222
DB08860	1019
DB00390	57665
DB00679	3033
DB00188	4717
DB00641	28977
DB00679	9833
DB01222	7168
DB01406	3486
DB00694	2553
DB06803	79672
DB06287	3163
DB00361	7374
DB01273	9212
DB00997	10926
DB00882	6118
DB01041	8870
DB00530	5236
DB00146	51021
DB00443	1846
DB00947	84722
DB00613	5018
DB01074	4833
DB00367	4522
DB00588	3930
DB01413	4830
DB00602	10051
DB00523	2958
DB00576	9518
DB01418	79080
DB08916	11130
DB00300	7284
DB00675	10131
DB08860	5347
DB01254	79902
DB01177	91746
DB00987	24137
DB00613	83743
DB01077	5901
DB01032	9915
DB00398	4172
DB00877	55272
DB00857	5983
DB00997	7494
DB00188	1070
DB08865	9319
DB00291	1058
DB08865	10849
DB01137	57761
DB00188	10360
DB01235	54681
DB01074	22974
DB00367	79850
DB00947	4173
DB00997	25987
DB00162	3315
DB04865	29058
DB00184	55256
DB01034	56983
DB00227	24147
DB01024	1978
DB01074	8208
DB00717	23212
DB09020	64110
DB00679	8697
DB00675	3329
DB06804	4043
DB01181	10273
DB01623	1802
DB01110	10273
DB02546	4282
DB06804	5427
DB00846	2274
DB06287	993
DB00970	1058
DB00928	6626
DB01166	63933
DB01030	79902
DB01396	1070
DB00857	51637
DB00970	4783
DB00360	4931
DB04573	9518
DB00170	10455
DB01067	84890
DB00997	26271
DB00322	994
DB00882	51075
DB00694	1477
DB00997	10915
DB00923	10972
DB04839	6894
DB00481	54881
DB02546	9231
DB00679	3028
DB06616	23406
DB04843	1738
DB08865	6059
DB00417	1027
DB00679	9217
DB08865	1786
DB00643	6772
DB00367	55651
DB00367	3312
DB01177	147179
DB00679	51138
DB08916	595
DB01273	57215
DB00227	8891
DB08865	10051
DB01188	56992
DB01105	26520
DB00091	30836
DB08916	1665
DB00445	8453
DB01119	5223
DB00523	5601
DB06803	8726
DB00305	890
DB08916	10606
DB00296	6277
DB00541	983
DB00755	23463
DB00878	6839
DB00715	6059
DB00305	8428
DB00445	51031
DB00444	23338
DB09020	55651
DB00398	10940
DB00694	7862
DB00641	54475
DB00353	4830
DB08877	64429
DB08911	4502
DB01103	4609
DB08911	58478
DB01092	3988
DB08865	4605
DB00363	10273
DB00481	6491
DB00449	6192
DB00694	5326
DB00762	23326
DB00869	3682
DB01030	23338
DB00928	7086
DB01034	5300
DB01034	7037
DB00970	1398
DB01254	90861
DB01177	1846
DB00679	9221
DB01171	1662
DB00523	10610
DB06287	55969
DB00374	9136
DB00987	4609
DB00242	22974
DB00132	9943
DB00541	1738
DB02546	328
DB00877	6723
DB01103	622
DB08901	11230
DB08860	9768
DB08946	8061
DB01118	2958
DB01366	10285
DB01115	22809
DB00366	3485
DB00555	7866
DB08865	6636
DB08911	51154
DB00445	10112
DB00762	29127
DB00444	9700
DB00229	51021
DB06151	6192
DB00908	5529
DB00783	23321
DB00398	23512
DB01204	1027
DB00694	1846
DB00602	51382
DB00928	9203
DB01092	57016
DB08860	3396
DB01032	6382
DB01095	9801
DB09020	6182
DB00426	8050
DB00367	9133
DB00643	86
DB00882	891
DB00296	51599
DB01021	5300
DB01229	11188
DB04868	5347
DB01177	55247
DB00570	51203
DB00717	6919
DB00206	10059
DB00755	2778
DB00773	79866
DB08911	51001
DB00938	51116
DB06803	10190
DB00540	7866
DB00861	22905
DB00242	11004
DB00305	4609
DB00353	5898
DB00810	200081
DB00643	55860
DB00283	8518
DB00679	29980
DB04868	10112
DB00261	4860
DB01024	8884
DB00136	51096
DB00715	10606
DB01254	1969
DB00421	2778
DB00773	79006
DB00798	10969
DB00641	7153
DB08881	5690
DB00331	5720
DB00305	5782
DB00688	3337
DB00441	54512
DB00570	2956
DB01273	6275
DB01268	11200
DB08916	977
DB01600	10273
DB00688	1063
DB01396	23625
DB00864	8050
DB00374	54733
DB00970	51441
DB00679	990
DB01162	22827
DB00640	991
DB00180	5909
DB04865	7263
DB01177	9133
DB01268	22948
DB00570	11162
DB01406	387707
DB00398	3422
DB00970	5684
DB00541	11073
DB01074	7027
DB00541	5111
DB01614	3028
DB01074	23463
DB01254	10969
DB00688	80324
DB00227	55355
DB08911	51018
DB00624	83743
DB06589	8569
DB00374	262
DB00570	9054
DB00754	23076
DB01241	51282
DB00641	3066
DB06287	22827
DB02546	4172
DB00968	79921
DB09020	10799
DB01211	55748
DB06804	3930
DB01095	5696
DB00602	3035
DB08916	22827
DB00444	55732
DB00641	5471
DB01110	6192
DB00968	51053
DB01254	9052
DB08865	5984
DB00441	533
DB08865	23512
DB00508	11065
DB01024	27000
DB00889	55256
DB00740	10362
DB01092	339229
DB00324	9928
DB01254	83461
DB01030	4651
DB00620	55355
DB00193	23597
DB00242	7153
DB00970	1026
DB00943	7846
DB08881	23597
DB02546	22868
DB00778	23210
DB01034	4001
DB08916	7027
DB01030	8204
DB00773	220134
DB00390	307
DB00444	2305
DB00822	91949
DB01254	10926
DB01113	83743
DB00518	22796
DB08912	994
DB00903	11130
DB01074	64943
DB00782	22796
DB08901	6205
DB01204	10137
DB08911	56926
DB00997	79697
DB00508	1738
DB00162	6192
DB00715	7374
DB01234	4817
DB00970	6629
DB00822	5715
DB00445	22796
DB00947	3833
DB01229	3185
DB01261	79174
DB00374	7982
DB01177	55038
DB01061	1676
DB01590	55226
DB08860	2762
DB06287	2935
DB00481	81930
DB06616	8061
DB08881	3336
DB00715	9801
DB00507	4605
DB01008	5357
DB00877	7277
DB06144	5441
DB00862	6050
DB02546	4088
DB00188	4001
DB01239	10969
DB09020	23659
DB00541	4926
DB00227	8914
DB00263	54205
DB00822	332
DB01229	387
DB00444	54892
DB04865	10712
DB04865	10972
DB00441	4751
DB00641	26354
DB00367	7982
DB00810	10273
DB09020	6697
DB00844	670
DB00367	6633
DB00783	9842
DB00242	55143
DB00641	2274
DB01590	80746
DB01396	5236
DB01092	138151
DB02546	9833
DB01243	3066
DB00715	51182
DB01021	991
DB01273	8878
DB01254	2152
DB00928	207
DB08901	29796
DB00960	10525
DB01065	347902
DB06803	4171
DB01098	6347
DB08860	8091
DB04868	11200
DB00715	55723
DB04865	26292
DB01229	2956
DB00643	10276
DB00602	5300
DB00302	79961
DB00441	11007
DB00374	1503
DB00441	8347
DB08901	3182
DB00877	23511
DB00854	54915
DB08958	23210
DB08881	1429
DB00513	23210
DB00588	347902
DB01177	2305
DB00846	5909
DB01268	5427
DB01044	55129
DB01064	991
DB00432	55143
DB00374	28969
DB00518	55837
DB00928	5110
DB00305	23210
DB00671	1666
DB00715	9768
DB01273	11130
DB00456	1351
DB01188	9585
DB08860	55759
DB00822	339229
DB00170	8914
DB00970	84975
